Screw,Head,Flowrate,Mass,AV
2,0.9,0.01725512,11.6,13.64155556
2,0.9,0.01725512,12,12.874
2,0.9,0.01725512,12.4,13.43222222
2,0.9,0.01725512,12.8,12.14133333
2,0.9,0.01725512,13.2,11.26911111
2,0.9,0.01725512,13.6,11.304
2,0.9,0.01725512,14,10.95511111
2,0.9,0.01725512,14.4,8.198888889
2,0.9,0.01725512,14.8,6.349777778
2,0.9,0.01725512,15.2,6.698666667
2,0.9,0.01725512,15.6,6.070666667
2,0.9,0.01725512,16,5.652
2,1,0.009907762,0.4,35.482
2,1,0.009907762,0.8,34.05155556
2,1,0.009907762,1.2,32.342
2,1,0.009907762,1.6,30.66733333
2,1,0.009907762,2,28.574
2,1,0.009907762,2.4,27.21333333
2,1,0.009907762,2.8,23.65466667
2,1,0.009907762,3.2,25.15488889
2,1,0.009907762,3.6,22.608
2,1,0.009907762,4,22.08466667
2,1,0.009907762,4.4,20.724
2,1,0.009907762,4.8,19.99133333
2,1,0.009907762,5.2,17.82822222
2,1,0.009907762,5.6,16.88622222
2,1,0.009907762,6,15.072
2,1,0.009907762,6.4,15.90933333
2,1,0.009907762,6.8,13.36244444
2,1,0.009907762,7.2,11.304
2,1,0.009907762,7.6,11.96688889
2,1,0.01725512,0.4,38.622
2,1,0.01725512,0.8,37.85444444
2,1,0.01725512,1.2,37.40088889
2,1,0.01725512,1.6,36.07511111
2,1,0.01725512,2,35.27266667
2,1,0.01725512,2.4,33.24911111
2,1,0.01725512,2.8,31.64422222
2,1,0.01725512,3.2,32.06288889
2,1,0.01725512,3.6,29.62066667
2,1,0.01725512,4,29.30666667
2,1,0.01725512,4.4,28.53911111
2,1,0.01725512,4.8,27.66688889
2,1,0.01725512,5.2,26.41088889
2,1,0.01725512,5.6,27.77155556
2,1,0.01725512,6,26.41088889
2,1,0.01725512,6.4,25.50377778
2,1,0.01725512,6.8,24.492
2,1,0.01725512,7.2,25.57355556
2,1,0.01725512,7.6,24.66644444
2,1,0.01725512,8,21.59622222
2,1,0.01725512,8.4,21.00311111
2,1,0.01725512,8.8,22.18933333
2,1,0.01725512,9.2,20.724
2,1,0.01725512,9.6,14.758
2,1,0.01725512,10,18.24688889
